date,symbol,selected
2024-11-20,DOGEUSDT,True
2024-11-20,SUIUSDT,True
2024-11-21,DOGEUSDT,True
2024-11-21,SUIUSDT,True
2024-11-22,DOGEUSDT,True
2024-11-22,SUIUSDT,True
2024-11-23,DOGEUSDT,True
2024-11-23,SUIUSDT,True
2024-11-24,DOGEUSDT,True
2024-11-24,SUIUSDT,True
2024-11-25,DOGEUSDT,True
2024-11-25,SUIUSDT,True
2024-11-26,DOGEUSDT,True
2024-11-26,SUIUSDT,True
2024-11-27,DOGEUSDT,True
2024-11-27,SUIUSDT,True
2024-11-28,DOGEUSDT,True
2024-11-28,SUIUSDT,True
2024-11-29,DOGEUSDT,True
2024-11-29,SUIUSDT,True
2024-11-30,DOGEUSDT,True
2024-11-30,SUIUSDT,True
2024-12-01,DOGEUSDT,True
2024-12-01,SUIUSDT,True
2024-12-02,DOGEUSDT,True
2024-12-02,SUIUSDT,True
2024-12-03,DOGEUSDT,True
2024-12-03,SUIUSDT,True
2024-12-04,DOGEUSDT,True
2024-12-04,SUIUSDT,True
2024-12-05,DOGEUSDT,True
2024-12-05,SUIUSDT,True
2024-12-06,DOGEUSDT,True
2024-12-06,SUIUSDT,True
2024-12-07,DOGEUSDT,True
2024-12-07,SUIUSDT,True
2024-12-08,DOGEUSDT,True
2024-12-08,SUIUSDT,True
2024-12-09,DOGEUSDT,True
2024-12-09,SUIUSDT,True
2024-12-10,DOGEUSDT,True
2024-12-10,SUIUSDT,True
2024-12-11,DOGEUSDT,True
2024-12-11,SUIUSDT,True
2024-12-12,DOGEUSDT,True
2024-12-12,SUIUSDT,True
2024-12-13,DOGEUSDT,True
2024-12-13,SUIUSDT,True
2024-12-14,DOGEUSDT,True
2024-12-14,SUIUSDT,True
2024-12-15,DOGEUSDT,True
2024-12-15,SUIUSDT,True
2024-12-16,DOGEUSDT,True
2024-12-16,SUIUSDT,True
2024-12-17,DOGEUSDT,True
2024-12-17,SUIUSDT,True
2024-12-18,DOGEUSDT,True
2024-12-18,SUIUSDT,True
2024-12-19,DOGEUSDT,True
2024-12-19,SUIUSDT,True
2024-12-20,DOGEUSDT,True
2024-12-20,SUIUSDT,True
2024-12-21,DOGEUSDT,True
2024-12-21,SUIUSDT,True
2024-12-22,DOGEUSDT,True
2024-12-22,SUIUSDT,True
2024-12-23,DOGEUSDT,True
2024-12-23,SUIUSDT,True
2024-12-24,DOGEUSDT,True
2024-12-24,SUIUSDT,True
2024-12-25,DOGEUSDT,True
2024-12-25,SUIUSDT,True
2024-12-26,DOGEUSDT,True
2024-12-26,SUIUSDT,True
2024-12-27,DOGEUSDT,True
2024-12-27,SUIUSDT,True
2024-12-28,DOGEUSDT,True
2024-12-28,SUIUSDT,True
2024-12-29,DOGEUSDT,True
2024-12-29,SUIUSDT,True
2024-12-30,DOGEUSDT,True
2024-12-30,SUIUSDT,True
2024-12-31,DOGEUSDT,True
2024-12-31,SUIUSDT,True
2025-01-01,DOGEUSDT,True
2025-01-01,SUIUSDT,True
2025-01-02,DOGEUSDT,True
2025-01-02,SUIUSDT,True
2025-01-03,DOGEUSDT,True
2025-01-03,SUIUSDT,True
2025-01-04,DOGEUSDT,True
2025-01-04,SUIUSDT,True
2025-01-05,DOGEUSDT,True
2025-01-05,SUIUSDT,True
2025-01-06,DOGEUSDT,True
2025-01-06,SUIUSDT,True
2025-01-07,DOGEUSDT,True
2025-01-07,SUIUSDT,True
2025-01-08,DOGEUSDT,True
2025-01-08,SUIUSDT,True
2025-01-09,DOGEUSDT,True
2025-01-09,SUIUSDT,True
2025-01-10,DOGEUSDT,True
2025-01-10,SUIUSDT,True
2025-01-11,DOGEUSDT,True
2025-01-11,SUIUSDT,True
